alpha-num,neg_res,non_res
1,100.0,40.909090909090914
2,100.0,40.909090909090914
4,100.0,40.909090909090914
8,100.0,40.909090909090914
16,100.0,40.909090909090914
32,100.0,40.909090909090914
64,100.0,40.909090909090914
128,100.0,40.909090909090914
256,100.0,40.909090909090914
512,100.0,40.909090909090914
1024,100.0,40.909090909090914
2048,100.0,40.909090909090914
4096,100.0,40.909090909090914
8192,100.0,40.909090909090914
16384,100.0,40.909090909090914
32768,100.0,40.909090909090914
65536,100.0,40.909090909090914
131072,100.0,40.909090909090914
262144,100.0,40.909090909090914
524288,100.0,40.909090909090914
1048576,100.0,40.909090909090914
2097152,100.0,40.909090909090914
4194304,100.0,40.909090909090914
8388608,100.0,40.909090909090914
16777216,100.0,40.909090909090914
33554432,100.0,40.909090909090914
67108864,100.0,40.909090909090914
134217728,100.0,40.909090909090914
268435456,100.0,40.909090909090914
536870912,100.0,40.909090909090914
1073741824,100.0,40.909090909090914
2147483648,100.0,40.909090909090914
4294967296,100.0,40.909090909090914
8589934592,100.0,40.909090909090914
17179869184,100.0,40.909090909090914
34359738368,100.0,40.909090909090914
68719476736,100.0,40.909090909090914
