low-freq,tp,fn,fp,tn,accuracy,precision,recall
1,98,2,62,38,0.68,0.6125,0.98
2,99,1,64,36,0.675,0.6073619631901841,0.99
3,98,2,63,37,0.675,0.6086956521739131,0.98
4,98,2,63,37,0.675,0.6086956521739131,0.98
5,98,2,66,34,0.66,0.5975609756097561,0.98
6,99,1,67,33,0.66,0.5963855421686747,0.99
7,99,1,67,33,0.66,0.5963855421686747,0.99
8,99,1,67,33,0.66,0.5963855421686747,0.99
9,99,1,67,33,0.66,0.5963855421686747,0.99
10,99,1,69,31,0.65,0.5892857142857143,0.99
11,99,1,68,32,0.655,0.592814371257485,0.99
12,99,1,71,29,0.64,0.5823529411764706,0.99
13,99,1,72,28,0.635,0.5789473684210527,0.99
14,99,1,73,27,0.63,0.5755813953488372,0.99
15,99,1,72,28,0.635,0.5789473684210527,0.99
16,99,1,74,26,0.625,0.5722543352601156,0.99
17,99,1,74,26,0.625,0.5722543352601156,0.99
18,99,1,74,26,0.625,0.5722543352601156,0.99
19,99,1,74,26,0.625,0.5722543352601156,0.99
20,99,1,74,26,0.625,0.5722543352601156,0.99
21,99,1,75,25,0.62,0.5689655172413793,0.99
22,99,1,75,25,0.62,0.5689655172413793,0.99
23,99,1,75,25,0.62,0.5689655172413793,0.99
24,99,1,75,25,0.62,0.5689655172413793,0.99
25,99,1,75,25,0.62,0.5689655172413793,0.99
26,99,1,75,25,0.62,0.5689655172413793,0.99
27,99,1,75,25,0.62,0.5689655172413793,0.99
28,99,1,75,25,0.62,0.5689655172413793,0.99
29,99,1,75,25,0.62,0.5689655172413793,0.99
30,99,1,75,25,0.62,0.5689655172413793,0.99
31,99,1,75,25,0.62,0.5689655172413793,0.99
32,99,1,75,25,0.62,0.5689655172413793,0.99
33,99,1,76,24,0.615,0.5657142857142857,0.99
34,99,1,76,24,0.615,0.5657142857142857,0.99
35,99,1,76,24,0.615,0.5657142857142857,0.99
36,99,1,76,24,0.615,0.5657142857142857,0.99
37,99,1,77,23,0.61,0.5625,0.99
38,99,1,77,23,0.61,0.5625,0.99
39,99,1,78,22,0.605,0.559322033898305,0.99
40,99,1,78,22,0.605,0.559322033898305,0.99
41,99,1,78,22,0.605,0.559322033898305,0.99
42,99,1,78,22,0.605,0.559322033898305,0.99
43,99,1,79,21,0.6,0.5561797752808989,0.99
44,99,1,78,22,0.605,0.559322033898305,0.99
45,99,1,78,22,0.605,0.559322033898305,0.99
46,99,1,78,22,0.605,0.559322033898305,0.99
47,99,1,78,22,0.605,0.559322033898305,0.99
48,99,1,77,23,0.61,0.5625,0.99
49,99,1,77,23,0.61,0.5625,0.99
50,99,1,77,23,0.61,0.5625,0.99
51,99,1,77,23,0.61,0.5625,0.99
52,99,1,77,23,0.61,0.5625,0.99
53,99,1,77,23,0.61,0.5625,0.99
54,99,1,77,23,0.61,0.5625,0.99
55,99,1,77,23,0.61,0.5625,0.99
56,99,1,78,22,0.605,0.559322033898305,0.99
57,99,1,76,24,0.615,0.5657142857142857,0.99
58,99,1,76,24,0.615,0.5657142857142857,0.99
59,99,1,76,24,0.615,0.5657142857142857,0.99
60,99,1,76,24,0.615,0.5657142857142857,0.99
61,99,1,76,24,0.615,0.5657142857142857,0.99
62,99,1,78,22,0.605,0.559322033898305,0.99
63,99,1,78,22,0.605,0.559322033898305,0.99
64,98,2,78,22,0.6,0.5568181818181818,0.98
65,98,2,78,22,0.6,0.5568181818181818,0.98
66,98,2,77,23,0.605,0.56,0.98
67,98,2,77,23,0.605,0.56,0.98
68,98,2,77,23,0.605,0.56,0.98
69,98,2,77,23,0.605,0.56,0.98
70,98,2,77,23,0.605,0.56,0.98
71,98,2,77,23,0.605,0.56,0.98
72,98,2,77,23,0.605,0.56,0.98
73,98,2,77,23,0.605,0.56,0.98
74,98,2,77,23,0.605,0.56,0.98
75,98,2,77,23,0.605,0.56,0.98
76,98,2,79,21,0.595,0.5536723163841808,0.98
77,98,2,79,21,0.595,0.5536723163841808,0.98
78,98,2,79,21,0.595,0.5536723163841808,0.98
79,98,2,79,21,0.595,0.5536723163841808,0.98
80,98,2,81,19,0.585,0.547486033519553,0.98
81,98,2,81,19,0.585,0.547486033519553,0.98
82,98,2,81,19,0.585,0.547486033519553,0.98
83,98,2,81,19,0.585,0.547486033519553,0.98
84,98,2,81,19,0.585,0.547486033519553,0.98
86,98,2,81,19,0.585,0.547486033519553,0.98
87,98,2,81,19,0.585,0.547486033519553,0.98
88,98,2,81,19,0.585,0.547486033519553,0.98
89,98,2,81,19,0.585,0.547486033519553,0.98
90,98,2,81,19,0.585,0.547486033519553,0.98
