alpha-num,tp,fn,fp,tn,accuracy,precision,recall
1,99,1,60,40,0.695,0.6226415094339622,0.99
2,99,1,60,40,0.695,0.6226415094339622,0.99
4,99,1,60,40,0.695,0.6226415094339622,0.99
8,99,1,60,40,0.695,0.6226415094339622,0.99
16,99,1,60,40,0.695,0.6226415094339622,0.99
32,99,1,60,40,0.695,0.6226415094339622,0.99
64,99,1,60,40,0.695,0.6226415094339622,0.99
128,99,1,60,40,0.695,0.6226415094339622,0.99
256,99,1,60,40,0.695,0.6226415094339622,0.99
512,99,1,60,40,0.695,0.6226415094339622,0.99
1024,99,1,60,40,0.695,0.6226415094339622,0.99
2048,99,1,60,40,0.695,0.6226415094339622,0.99
4096,99,1,60,40,0.695,0.6226415094339622,0.99
8192,99,1,60,40,0.695,0.6226415094339622,0.99
16384,99,1,60,40,0.695,0.6226415094339622,0.99
32768,99,1,60,40,0.695,0.6226415094339622,0.99
65536,99,1,60,40,0.695,0.6226415094339622,0.99
131072,99,1,60,40,0.695,0.6226415094339622,0.99
262144,99,1,60,40,0.695,0.6226415094339622,0.99
524288,99,1,60,40,0.695,0.6226415094339622,0.99
1048576,99,1,60,40,0.695,0.6226415094339622,0.99
2097152,99,1,60,40,0.695,0.6226415094339622,0.99
4194304,99,1,60,40,0.695,0.6226415094339622,0.99
8388608,99,1,60,40,0.695,0.6226415094339622,0.99
16777216,99,1,60,40,0.695,0.6226415094339622,0.99
33554432,99,1,60,40,0.695,0.6226415094339622,0.99
67108864,99,1,60,40,0.695,0.6226415094339622,0.99
134217728,99,1,60,40,0.695,0.6226415094339622,0.99
268435456,99,1,60,40,0.695,0.6226415094339622,0.99
536870912,99,1,60,40,0.695,0.6226415094339622,0.99
1073741824,99,1,60,40,0.695,0.6226415094339622,0.99
2147483648,99,1,60,40,0.695,0.6226415094339622,0.99
4294967296,99,1,60,40,0.695,0.6226415094339622,0.99
8589934592,99,1,60,40,0.695,0.6226415094339622,0.99
17179869184,99,1,60,40,0.695,0.6226415094339622,0.99
34359738368,99,1,60,40,0.695,0.6226415094339622,0.99
68719476736,99,1,60,40,0.695,0.6226415094339622,0.99
