high-freq,tp,fn,fp,tn,accuracy,precision,recall
5942,99,1,60,40,0.695,0.6226415094339622,0.99
4481,99,1,59,41,0.7,0.6265822784810127,0.99
4034,99,1,58,42,0.705,0.6305732484076433,0.99
3506,98,2,57,43,0.705,0.632258064516129,0.98
3107,97,3,55,45,0.71,0.6381578947368421,0.97
2769,97,3,54,46,0.715,0.6423841059602649,0.97
2723,97,3,52,48,0.725,0.6510067114093959,0.97
2674,97,3,52,48,0.725,0.6510067114093959,0.97
2671,97,3,52,48,0.725,0.6510067114093959,0.97
2570,97,3,52,48,0.725,0.6510067114093959,0.97
2356,96,4,52,48,0.72,0.6486486486486487,0.96
2346,96,4,52,48,0.72,0.6486486486486487,0.96
2160,96,4,51,49,0.725,0.6530612244897959,0.96
2095,96,4,51,49,0.725,0.6530612244897959,0.96
1915,96,4,51,49,0.725,0.6530612244897959,0.96
1735,96,4,50,50,0.73,0.6575342465753424,0.96
1723,96,4,50,50,0.73,0.6575342465753424,0.96
1717,96,4,50,50,0.73,0.6575342465753424,0.96
1643,96,4,50,50,0.73,0.6575342465753424,0.96
1497,96,4,49,51,0.735,0.6620689655172414,0.96
1366,96,4,48,52,0.74,0.6666666666666666,0.96
1342,96,4,48,52,0.74,0.6666666666666666,0.96
1335,96,4,48,52,0.74,0.6666666666666666,0.96
1326,96,4,48,52,0.74,0.6666666666666666,0.96
1306,96,4,48,52,0.74,0.6666666666666666,0.96
1279,96,4,48,52,0.74,0.6666666666666666,0.96
1276,96,4,48,52,0.74,0.6666666666666666,0.96
1275,97,3,54,46,0.715,0.6423841059602649,0.97
1265,97,3,54,46,0.715,0.6423841059602649,0.97
1259,96,4,54,46,0.71,0.64,0.96
1210,96,4,54,46,0.71,0.64,0.96
1169,96,4,53,47,0.715,0.6442953020134228,0.96
1076,96,4,52,48,0.72,0.6486486486486487,0.96
1071,96,4,52,48,0.72,0.6486486486486487,0.96
1056,96,4,52,48,0.72,0.6486486486486487,0.96
999,96,4,52,48,0.72,0.6486486486486487,0.96
991,96,4,50,50,0.73,0.6575342465753424,0.96
982,96,4,50,50,0.73,0.6575342465753424,0.96
981,96,4,50,50,0.73,0.6575342465753424,0.96
941,96,4,50,50,0.73,0.6575342465753424,0.96
920,96,4,50,50,0.73,0.6575342465753424,0.96
902,96,4,50,50,0.73,0.6575342465753424,0.96
898,96,4,50,50,0.73,0.6575342465753424,0.96
890,96,4,50,50,0.73,0.6575342465753424,0.96
886,96,4,50,50,0.73,0.6575342465753424,0.96
868,96,4,50,50,0.73,0.6575342465753424,0.96
810,96,4,49,51,0.735,0.6620689655172414,0.96
791,96,4,49,51,0.735,0.6620689655172414,0.96
786,96,4,49,51,0.735,0.6620689655172414,0.96
780,96,4,49,51,0.735,0.6620689655172414,0.96
771,96,4,49,51,0.735,0.6620689655172414,0.96
761,96,4,49,51,0.735,0.6620689655172414,0.96
757,96,4,49,51,0.735,0.6620689655172414,0.96
752,96,4,49,51,0.735,0.6620689655172414,0.96
740,97,3,50,50,0.735,0.6598639455782312,0.97
732,97,3,50,50,0.735,0.6598639455782312,0.97
722,97,3,50,50,0.735,0.6598639455782312,0.97
713,96,4,50,50,0.73,0.6575342465753424,0.96
683,96,4,50,50,0.73,0.6575342465753424,0.96
678,96,4,50,50,0.73,0.6575342465753424,0.96
671,96,4,50,50,0.73,0.6575342465753424,0.96
664,96,4,50,50,0.73,0.6575342465753424,0.96
651,96,4,50,50,0.73,0.6575342465753424,0.96
640,96,4,50,50,0.73,0.6575342465753424,0.96
605,96,4,50,50,0.73,0.6575342465753424,0.96
588,96,4,50,50,0.73,0.6575342465753424,0.96
584,96,4,50,50,0.73,0.6575342465753424,0.96
583,96,4,50,50,0.73,0.6575342465753424,0.96
580,96,4,48,52,0.74,0.6666666666666666,0.96
559,96,4,48,52,0.74,0.6666666666666666,0.96
554,96,4,47,53,0.745,0.6713286713286714,0.96
549,96,4,47,53,0.745,0.6713286713286714,0.96
542,96,4,47,53,0.745,0.6713286713286714,0.96
515,96,4,47,53,0.745,0.6713286713286714,0.96
506,96,4,47,53,0.745,0.6713286713286714,0.96
496,95,5,47,53,0.74,0.6690140845070423,0.95
486,95,5,47,53,0.74,0.6690140845070423,0.95
485,95,5,46,54,0.745,0.6737588652482269,0.95
481,95,5,46,54,0.745,0.6737588652482269,0.95
478,95,5,46,54,0.745,0.6737588652482269,0.95
477,95,5,46,54,0.745,0.6737588652482269,0.95
467,95,5,46,54,0.745,0.6737588652482269,0.95
466,94,6,46,54,0.74,0.6714285714285714,0.94
461,94,6,46,54,0.74,0.6714285714285714,0.94
454,94,6,46,54,0.74,0.6714285714285714,0.94
448,94,6,46,54,0.74,0.6714285714285714,0.94
447,94,6,46,54,0.74,0.6714285714285714,0.94
444,94,6,47,53,0.735,0.6666666666666666,0.94
441,94,6,47,53,0.735,0.6666666666666666,0.94
440,94,6,47,53,0.735,0.6666666666666666,0.94
438,94,6,45,55,0.745,0.6762589928057554,0.94
437,94,6,45,55,0.745,0.6762589928057554,0.94
435,94,6,45,55,0.745,0.6762589928057554,0.94
432,94,6,45,55,0.745,0.6762589928057554,0.94
425,94,6,45,55,0.745,0.6762589928057554,0.94
419,94,6,45,55,0.745,0.6762589928057554,0.94
